J1001-5939     7.733640  5.99e-14    39.000      0.15      113.00    150.384292    -59.654944    282.945     -3.548  *         
J1002-5559     0.777501  1.57e-15    25.000      0.12      426.00    150.741250    -55.993611    280.901     -0.503  *         
J1012-5830     2.133591  3.77e-14    31.000      0.08      294.00    153.228750    -58.507111    283.459     -1.762  *         
J1012-5857     0.819911  1.77e-14    10.000      1.70      383.90    153.202083    -58.961111    283.706     -2.144  *         
J1013-5934     0.442901  5.58e-16     7.400      1.90      379.78    153.382725    -59.574083    284.130     -2.596  *         
J1015-5719     0.139882  5.74e-14    46.000      0.90      278.70    153.908167    -57.320222    283.088     -0.578  *         
J1016-5345     0.769584  1.93e-15     8.700      0.82       66.80    154.130000    -53.753833    281.201      2.451  *         
J1016-5819     0.087834  6.98e-16     4.200      0.31      252.10    154.050417    -58.316986    283.708     -1.363  *         
J1016-5857     0.107386  8.08e-14     7.800      0.46      394.20    154.088167    -58.953361    284.079     -1.880  *         
J1017-5621     0.503459  3.13e-15     7.300      2.90      439.10    154.303583    -56.358528    282.732      0.341  *         
J1017-7156     0.002339  2.22e-21     0.060      1.00       94.22    154.463868    -71.944902    291.558    -12.553  DD        
J1018-1642     1.804695  1.74e-15    30.600      0.60       48.82    154.668190    -16.702816    258.261     32.610  *         
J1019-5749     0.162499  2.01e-14    44.000      0.80     1039.40    154.967250    -57.818306    283.837     -0.679  *         
J1020-5921     1.238305  4.05e-14    19.000      0.45       80.00    155.058458    -59.359444    284.719     -1.944  *         
J1020-6026     0.140480  6.74e-15    14.000      0.14      445.00    155.047500    -60.435222    285.302     -2.848  *         
J1021-5601     0.670026  5.34e-17    52.000      0.37      212.00    155.353417    -56.030806    283.041      0.935  *         
J1022+1001     0.016453  4.33e-20     0.972      6.10       10.25    155.741679     10.031322    231.795     51.101  T2        
J1022-5813     1.643726  1.45e-13    36.000      0.20      714.00    155.617083    -58.225000    284.347     -0.834  *         
J1024-0719     0.005162  1.85e-20     0.521      1.50        6.49    156.161202     -7.321992    251.702     40.516  *         
J1028-5819     0.091403  1.61e-14     0.160      0.36       96.53    157.116667    -58.318111    285.065     -0.496  *         
J1031-6117     0.306411  1.78e-15    10.000      0.12      506.80    157.759333    -61.297389    286.880     -2.881  *         
J1032-5206     2.407622  1.79e-14    21.000      0.19      139.00    158.115375    -52.102361    282.354      5.128  *         
J1032-5911     0.464208  3.00e-15     7.700      0.93      418.20    158.029167    -59.166667    285.907     -0.980  *         
J1034-3224     1.150590  2.30e-16    23.000      4.70       50.75    158.581296    -32.407217    272.050     22.117  *         
